,en_name,cn_name,link
78,Dirty Ass,DIRTY ASS,chongqing/dirtyass.htm
79,Disastrous Fantasy/,悲創冥想,chongqing/bcmx.htm
80,Disorder/Wenluan,紊亂,chongqing/wenluan.htm
81,Dorm-7,DORM-7,chongqing/dorm7.htm
82,Drifter,DRIFTER,chongqing/drifter.htm
83,Eastern Shaker,EASTERN SHAKER,chongqing/easternshaker.htm
84,Erliangxiaomian,二両小面,chongqing/2liangxiaomian.htm
85,E shidai,E時代,chongqing/eshidai.htm
86,Extender,EXTENDER,chongqing/extender.htm
87,Fanshe,反舌,chongqing/fanshe.htm
88,Fault/Duanceng,斷層,chongqing/duanceng.htm
89,Feishe,吠舎,chongqing/feishe.htm
90,Feiling,非靈,chongqing/feiling.htm
91,Fengren,蜂人,chongqing/fengren.htm
92,Fengsuji,風速機,chongqing/fengsuji.htm
93,Fengye,楓葉,chongqing/fengye.htm
94,Fengzheng,風箏,chongqing/fengzheng.htm
95,Fenlie,分裂,chongqing/fenlie.htm
96,Flame/Huoyan,火焔,chongqing/huoyan.htm
97,Fox,FOX,chongqing/fox.htm
98,Foxisland,FOXISLAND,chongqing/foxisland.htm
99,Fumu,浮木,chongqing/fumu.htm
100,Fungus,FUNGUS,chongqing/fungus.htm
101,Funk/Fengke,瘋客,chongqing/funk.htm
102,Fushe,輻射,chongqing/fushe.htm
103,Fushe,輻射,chongqing/fushe_xuke.htm
104,Fuss,FUSS,chongqing/fuss.htm
105,Gaoyaxian,高壓綫,chongqing/gaoyaxian.htm
106,Genhaowu,根號五,chongqing/genhao5.htm
107,Get End/Zhongjie,終結,chongqing/zhongjie.htm
108,Gospel/Fuyin,福音,chongqing/gospel.htm
109,Grape/Wali,瓦礫,chongqing/wali.htm
110,Guanghangong,廣寒宮,chongqing/guanghangong.htm
111,Guo,果,chongqing/guo.htm
112,Guowang,國王,chongqing/guowang.htm
113,Haibinggan,海餅干,chongqing/haibinggan.htm
114,Han,ORAN,chongqing/oran.htm
115,Hatch/Fuhua,孵化,chongqing/hatch.htm
116,Hechuang,河床,chongqing/hechuang.htm
117,Heisechibang,黒色翅膀,chongqing/heisechibang.htm
118,Heishizi,黒十字,chongqing/heishizi.htm
119,Hen,痕,chongqing/hen.htm
120,Heng.ha,［ﾛ亨］.哈,chongqing/hengha.htm
121,Hero Saves Mum,HERO SAVES MUM,chongqing/hsm.htm
122,"High Land
        Dude/Gaodixiaozi",高地小子,chongqing/gaodixiaozi.htm
123,Hong,虹,chongqing/hong.htm
124,Honglingjin,紅領巾,chongqing/honglingjin.htm
125,Houyi,後[羽/廾],chongqing/houyi.htm
126,H2O,H2O,chongqing/h2o.htm
