,en_name,cn_name,link
140,Qianzhenshi,潜眞實,https://www.yaogun.com/artist/shijiazhuang/qianzhenshi.htm
141,Qimingxing,啓明星,https://www.yaogun.com/artist/shijiazhuang/qimingxing.htm
142,Qimi,奇迷,https://www.yaogun.com/artist/shijiazhuang/qimi.htm
143,Queyang,缺yang,https://www.yaogun.com/artist/shijiazhuang/queyang.htm
144,Qumaduo,曲馬多,https://www.yaogun.com/artist/shijiazhuang/qumaduo.htm
145,Rebel/Fanpan,反叛,https://www.yaogun.com/artist/shijiazhuang/fanpan.htm
146,Red Five,RED FIVE,https://www.yaogun.com/artist/shijiazhuang/redfive.htm
147,Red Hair/Hongfa,紅髪,https://www.yaogun.com/artist/shijiazhuang/hongfa.htm
148,Red Hair Children,昏熱症,https://www.yaogun.com/artist/shijiazhuang/hunrezheng.htm
149,Renzhi,人zhi,https://www.yaogun.com/artist/shijiazhuang/renzhi.htm
150,Reverb Boom Box/Hunyinhe,混音盒,https://www.yaogun.com/artist/shijiazhuang/hunyinhe.htm
151,Rongyaoshi,榮耀時,https://www.yaogun.com/artist/shijiazhuang/rongyaoshi.htm
152,Rubbish,RUBBISH,https://www.yaogun.com/artist/shijiazhuang/rubbish.htm
153,Sanmuou,散木偶,https://www.yaogun.com/artist/shijiazhuang/sanmuou.htm
154,Shanguangjing,閃光鏡,https://www.yaogun.com/artist/shijiazhuang/shanguangjing.htm
155,Shaonianxianfeng,少年先鋒,https://www.yaogun.com/artist/shijiazhuang/shaonianxianfeng.htm
156,Shengbingxia,聖餅匣,https://www.yaogun.com/artist/shijiazhuang/shengbingxia.htm
157,Shengyu,聖域,https://www.yaogun.com/artist/shijiazhuang/shengyu.htm
158,Shicun,適存,https://www.yaogun.com/artist/shijiazhuang/shicun.htm
159,Shijianzhizhen,時間指針,https://www.yaogun.com/artist/shijiazhuang/shijianzhizhen.htm
160,Shishangtonghua,時尚童話,https://www.yaogun.com/artist/shijiazhuang/ssth.htm
161,Shitigongchang,屍體工廠,https://www.yaogun.com/artist/shijiazhuang/shitigongchang.htm
162,Shitijiepou,屍體解剖,https://www.yaogun.com/artist/shijiazhuang/shitijiepou.htm
163,Shizhong,失重,https://www.yaogun.com/artist/shijiazhuang/shizhong.htm
164,Shuinianlun,水年輪,https://www.yaogun.com/artist/shijiazhuang/shuinianlun.htm
